,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
125,12.0,Sun,2021-11-07,12:30,Venezia,2.5,3–2,3.5,Roma,8263.0,Stadio Pierluigi Penzo,Gianluca Aureliano,Match Report,
126,12.0,Sun,2021-11-07,15:00,Sampdoria,0.8,1–2,1.9,Bologna,5694.0,Stadio Comunale Luigi Ferraris,Gianluca Manganiello,Match Report,
127,12.0,Sun,2021-11-07,15:00,Udinese,1.7,3–2,1.3,Sassuolo,8322.0,Dacia Arena,Federico Dionisi,Match Report,
128,12.0,Sun,2021-11-07,18:00,Lazio,2.1,3–0,0.5,Salernitana,25000.0,Stadio Olimpico,Antonio Rapuano,Match Report,
129,12.0,Sun,2021-11-07,18:00,Napoli,0.8,1–1,1.0,Hellas Verona,28000.0,Stadio San Paolo,Giovanni Ayroldi,Match Report,
130,12.0,Sun,2021-11-07,20:45,Milan,0.9,1–1,2.6,Inter,56608.0,Stadio Giuseppe Meazza,Daniele Doveri,Match Report,
131,,,,,,,,,,,,,,
132,13.0,Sat,2021-11-20,15:00,Atalanta,2.5,5–2,1.0,Spezia,10744.0,Stadio Atleti Azzurri d'Italia,Rosario Abisso,Match Report,
133,13.0,Sat,2021-11-20,18:00,Lazio,0.2,0–2,2.7,Juventus,45000.0,Stadio Olimpico,Marco Di Bello,Match Report,
134,13.0,Sat,2021-11-20,20:45,Fiorentina,1.8,4–3,2.1,Milan,32567.0,Stadio Artemio Franchi,Marco Guida,Match Report,
135,13.0,Sun,2021-11-21,12:30,Sassuolo,3.2,2–2,1.5,Cagliari,4135.0,Stadio Città del Tricolore,Niccolò Baroni,Match Report,
136,13.0,Sun,2021-11-21,15:00,Bologna,1.4,0–1,1.0,Venezia,15255.0,Stadio Renato Dall'Ara,Daniele Chiffi,Match Report,
137,13.0,Sun,2021-11-21,15:00,Salernitana,1.3,0–2,0.9,Sampdoria,11849.0,Stadio Arechi,Piero Giacomelli,Match Report,
138,13.0,Sun,2021-11-21,18:00,Inter,1.9,3–2,1.1,Napoli,56649.0,Stadio Giuseppe Meazza,Paolo Valeri,Match Report,
139,13.0,Sun,2021-11-21,20:45,Genoa,0.2,0–2,1.8,Roma,14667.0,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Match Report,
140,13.0,Mon,2021-11-22,18:30,Hellas Verona,1.3,2–1,1.6,Empoli,13797.0,Stadio Marc'Antonio Bentegodi,Matteo Gariglio,Match Report,
141,13.0,Mon,2021-11-22,20:45,Torino,1.9,2–1,1.7,Udinese,7034.0,Stadio Olimpico di Torino,Ivan Pezzuto,Match Report,
142,,,,,,,,,,,,,,
143,14.0,Fri,2021-11-26,20:45,Cagliari,1.6,1–1,0.4,Salernitana,9700.0,Sardegna Arena,Daniele Doveri,Match Report,
144,14.0,Sat,2021-11-27,15:00,Sampdoria,0.8,3–1,0.9,Hellas Verona,6813.0,Stadio Comunale Luigi Ferraris,Lorenzo Maggioni,Match Report,
145,14.0,Sat,2021-11-27,15:00,Empoli,1.9,2–1,2.4,Fiorentina,7878.0,Stadio Carlo Castellani,Juan Sacchi,Match Report,
146,14.0,Sat,2021-11-27,18:00,Juventus,0.9,0–1,0.4,Atalanta,29886.0,Allianz Stadium,Giovanni Ayroldi,Match Report,
147,14.0,Sat,2021-11-27,20:45,Venezia,0.1,0–2,2.7,Inter,8303.0,Stadio Pierluigi Penzo,Livio Marinelli,Match Report,
148,14.0,Sun,2021-11-28,12:30,Udinese,1.1,0–0,0.7,Genoa,11537.0,Dacia Arena,Francesco Meraviglia,Match Report,
149,14.0,Sun,2021-11-28,15:00,Milan,1.1,1–3,1.1,Sassuolo,52824.0,Stadio Giuseppe Meazza,Gianluca Manganiello,Match Report,
150,14.0,Sun,2021-11-28,15:00,Spezia,1.1,0–1,2.4,Bologna,6265.0,Stadio Alberto Picco,Luca Massimi,Match Report,
151,14.0,Sun,2021-11-28,18:00,Roma,0.9,1–0,1.2,Torino,46728.0,Stadio Olimpico,Daniele Chiffi,Match Report,
