,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
143,15.0,Sat,2021-12-11,15:30,Freiburg,1.6,1–2,1.1,Hoffenheim,750.0,Europa-Park Stadion,Frank Willenborg,Match Report,
144,15.0,Sat,2021-12-11,15:30,RB Leipzig,4.4,4–1,1.4,M'Gladbach,,Red Bull Arena,Bastian Dankert,Match Report,
145,15.0,Sat,2021-12-11,15:30,Bochum,0.9,1–1,2.5,Dortmund,13799.0,Vonovia Ruhrstadion,Matthias Jöllenbeck,Match Report,
146,15.0,Sat,2021-12-11,18:30,Wolfsburg,1.5,0–2,1.4,Stuttgart,5000.0,Volkswagen Arena,Sascha Stegemann,Match Report,
147,15.0,Sun,2021-12-12,15:30,Greuther Fürth,0.7,1–0,1.2,Union Berlin,,Sportpark Ronhof Thomas Sommer,Sven Jablonski,Match Report,
148,15.0,Sun,2021-12-12,17:30,Eint Frankfurt,1.6,5–2,1.7,Leverkusen,12000.0,Commerzbank-Arena,Marco Fritz,Match Report,
149,,,,,,,,,,,,,,
150,16.0,Tue,2021-12-14,18:30,Stuttgart,0.9,0–5,3.3,Bayern Munich,750.0,Mercedes-Benz Arena,Robert Schröder,Match Report,
151,16.0,Tue,2021-12-14,20:30,Wolfsburg,2.5,2–3,3.3,Köln,5000.0,Volkswagen Arena,Robert Hartmann,Match Report,
152,16.0,Tue,2021-12-14,20:30,Arminia,0.9,2–0,0.6,Bochum,13750.0,SchücoArena,Benjamin Brand,Match Report,
153,16.0,Tue,2021-12-14,20:30,Mainz 05,2.6,4–0,0.5,Hertha BSC,10000.0,Opel Arena,Harm Osmers,Match Report,
154,16.0,Wed,2021-12-15,18:30,M'Gladbach,1.9,2–3,1.8,Eint Frankfurt,10028.0,Stadion im Borussia-Park,Martin Petersen,Match Report,
155,16.0,Wed,2021-12-15,20:30,Leverkusen,2.0,2–2,1.9,Hoffenheim,13272.0,BayArena,Tobias Stieler,Match Report,
156,16.0,Wed,2021-12-15,20:30,Union Berlin,1.8,0–0,1.4,Freiburg,5000.0,Stadion An der Alten Försterei,Deniz Aytekin,Match Report,
