,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
211,22.0,Sat,2023-02-25,,Hoffenheim,,,,Dortmund,,PreZero Arena,,Head-to-Head,
212,22.0,Sat,2023-02-25,,Mainz 05,,,,M'Gladbach,,Opel Arena,,Head-to-Head,
213,22.0,Sat,2023-02-25,,Freiburg,,,,Leverkusen,,Europa-Park Stadion,,Head-to-Head,
214,22.0,Sat,2023-02-25,,Bayern Munich,,,,Union Berlin,,Allianz Arena,,Head-to-Head,
215,22.0,Sat,2023-02-25,,Hertha BSC,,,,Augsburg,,Olympiastadion Berlin,,Head-to-Head,
216,22.0,Sat,2023-02-25,,Köln,,,,Wolfsburg,,RheinEnergieSTADION,,Head-to-Head,
217,22.0,Sat,2023-02-25,,RB Leipzig,,,,Eint Frankfurt,,Red Bull Arena,,Head-to-Head,
218,22.0,Sat,2023-02-25,,Schalke 04,,,,Stuttgart,,Veltins-Arena,,Head-to-Head,
219,,,,,,,,,,,,,,
220,23.0,Sat,2023-03-04,,Stuttgart,,,,Bayern Munich,,Mercedes-Benz Arena,,Head-to-Head,
221,23.0,Sat,2023-03-04,,Wolfsburg,,,,Eint Frankfurt,,Volkswagen Arena,,Head-to-Head,
222,23.0,Sat,2023-03-04,,Mainz 05,,,,Hoffenheim,,Opel Arena,,Head-to-Head,
223,23.0,Sat,2023-03-04,,M'Gladbach,,,,Freiburg,,Stadion im Borussia-Park,,Head-to-Head,
224,23.0,Sat,2023-03-04,,Bochum,,,,Schalke 04,,Vonovia Ruhrstadion,,Head-to-Head,
225,23.0,Sat,2023-03-04,,Leverkusen,,,,Hertha BSC,,BayArena,,Head-to-Head,
226,23.0,Sat,2023-03-04,,Augsburg,,,,Werder Bremen,,WWK Arena,,Head-to-Head,
227,23.0,Sat,2023-03-04,,Dortmund,,,,RB Leipzig,,Signal Iduna Park,,Head-to-Head,
228,23.0,Sat,2023-03-04,,Union Berlin,,,,Köln,,Stadion An der Alten Försterei,,Head-to-Head,
229,,,,,,,,,,,,,,
230,24.0,Sat,2023-03-11,,Werder Bremen,,,,Leverkusen,,Weserstadion,,Head-to-Head,
231,24.0,Sat,2023-03-11,,Freiburg,,,,Hoffenheim,,Europa-Park Stadion,,Head-to-Head,
232,24.0,Sat,2023-03-11,,Bayern Munich,,,,Augsburg,,Allianz Arena,,Head-to-Head,
233,24.0,Sat,2023-03-11,,RB Leipzig,,,,M'Gladbach,,Red Bull Arena,,Head-to-Head,
234,24.0,Sat,2023-03-11,,Eint Frankfurt,,,,Stuttgart,,Commerzbank-Arena,,Head-to-Head,
235,24.0,Sat,2023-03-11,,Hertha BSC,,,,Mainz 05,,Olympiastadion Berlin,,Head-to-Head,
236,24.0,Sat,2023-03-11,,Köln,,,,Bochum,,RheinEnergieSTADION,,Head-to-Head,
237,24.0,Sat,2023-03-11,,Schalke 04,,,,Dortmund,,Veltins-Arena,,Head-to-Head,
238,24.0,Sat,2023-03-11,,Wolfsburg,,,,Union Berlin,,Volkswagen Arena,,Head-to-Head,
239,,,,,,,,,,,,,,
240,25.0,Sat,2023-03-18,,Dortmund,,,,Köln,,Signal Iduna Park,,Head-to-Head,
241,25.0,Sat,2023-03-18,,Hoffenheim,,,,Hertha BSC,,PreZero Arena,,Head-to-Head,
242,25.0,Sat,2023-03-18,,Augsburg,,,,Schalke 04,,WWK Arena,,Head-to-Head,
243,25.0,Sat,2023-03-18,,Bochum,,,,RB Leipzig,,Vonovia Ruhrstadion,,Head-to-Head,
244,25.0,Sat,2023-03-18,,M'Gladbach,,,,Werder Bremen,,Stadion im Borussia-Park,,Head-to-Head,
245,25.0,Sat,2023-03-18,,Mainz 05,,,,Freiburg,,Opel Arena,,Head-to-Head,
246,25.0,Sat,2023-03-18,,Leverkusen,,,,Bayern Munich,,BayArena,,Head-to-Head,
247,25.0,Sat,2023-03-18,,Stuttgart,,,,Wolfsburg,,Mercedes-Benz Arena,,Head-to-Head,
248,25.0,Sat,2023-03-18,,Union Berlin,,,,Eint Frankfurt,,Stadion An der Alten Försterei,,Head-to-Head,
249,,,,,,,,,,,,,,
250,26.0,Sat,2023-04-01,,RB Leipzig,,,,Mainz 05,,Red Bull Arena,,Head-to-Head,
251,26.0,Sat,2023-04-01,,Köln,,,,M'Gladbach,,RheinEnergieSTADION,,Head-to-Head,
252,26.0,Sat,2023-04-01,,Werder Bremen,,,,Hoffenheim,,Weserstadion,,Head-to-Head,
253,26.0,Sat,2023-04-01,,Freiburg,,,,Hertha BSC,,Europa-Park Stadion,,Head-to-Head,
254,26.0,Sat,2023-04-01,,Wolfsburg,,,,Augsburg,,Volkswagen Arena,,Head-to-Head,
